genres,app_name,specs,price,early_access,developer,sentiment,metascore,release_year
['Action'],Half-Life,"['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']",9.99,False,Valve,very positive,96.0,1998
['Strategy'],Disciples II: Gallean's Return,"['Single-player', 'Multi-player', 'Co-op']",6.99,False,Strategy First,positive,84.0,2006
['Strategy'],Disciples II: Rise of the Elves,"['Single-player', 'Multi-player', 'Co-op']",6.99,False,Strategy First,mostly Positive,80.0,2006
"['Action', 'Indie', 'RPG']",The Ship: Murder Party,"['Single-player', 'Multi-player', 'Steam Trading Cards', 'Valve Anti-Cheat enabled']",9.99,False,Outerlight Ltd.,mostly Positive,76.0,2006
['Action'],Advent Rising,"['Single-player', 'Steam Trading Cards']",9.99,False,GlyphX Games,mixed,70.0,2005
"['Indie', 'Strategy']",DEFCON,"['Single-player', 'Multi-player']",9.99,False,Introversion Software,positive,84.0,2006
"['Casual', 'Indie']",Gumboy - Crazy Adventures™,['Single-player'],4.99,False,"CINEMAX, s.r.o.",mixed,69.0,2006
['Strategy'],Ghost Master®,['Single-player'],4.99,False,Sick Puppies,positive,81.0,2003
"['Adventure', 'RPG']",Dreamfall: The Longest Journey,['Single-player'],19.99,False,Funcom,mostly Positive,75.0,2006
['Racing'],FlatOut 2™,['Single-player'],9.99,False,Bugbear Entertainment,mostly Positive,76.0,2006
['Racing'],FlatOut,"['Single-player', 'Multi-player']",7.49,False,Bugbear Entertainment,mostly Positive,72.0,2005
"['Action', 'Adventure']",Lost Pl™: Extreme Condition,"['Single-player', 'Multi-player', 'Partial Controller Support', 'Valve Anti-Cheat enabled']",14.99,False,"CAPCOM Co., Ltd.",mixed,66.0,2007
['Strategy'],CivCity: Rome,['Single-player'],9.99,False,"FireFly Studios,Firaxis Games",mixed,67.0,2006
['RPG'],Arx Fatalis,['Single-player'],4.99,False,Arkane Studios,mostly Positive,77.0,2002
"['Action', 'Adventure', 'RPG']",The Longest Journey,['Single-player'],9.99,False,Funcom,very positive,91.0,2000
['Strategy'],Civilization IV®: Warlords,['Single-player'],4.99,False,Firaxis Games,positive,84.0,2006
['Strategy'],Railroad Tycoon 3,"['Single-player', 'Multi-player']",9.99,False,PopTop,mostly Positive,80.0,2003
['Strategy'],Sid Meier's Railroads!,"['Single-player', 'Multi-player']",9.99,False,"Firaxis Games,Feral Interactive (Mac)",mostly Positive,77.0,2006
['Strategy'],Railroad Tycoon II Platinum,['Single-player'],4.99,False,PopTop,very positive,89.0,1998
"['Action', 'Adventure']",Tomb Raider: Anniversary,"['Single-player', 'Partial Controller Support']",8.99,False,"Crystal Dynamics,Feral Interactive (Mac)",positive,83.0,2007
['Action'],Devil May Cry® 3 Special Edition,"['Single-player', 'Partial Controller Support']",19.99,False,"CAPCOM Co., Ltd.",mixed,66.0,2006
"['Indie', 'RPG']",Vigil: Blood Bitterness™,['Single-player'],,False,Freegamer,mixed,61.0,2007
['Action'],DOOM II,"['Single-player', 'Multi-player', 'Steam Cloud']",4.99,False,id Software,positive,83.0,1994
['Action'],Return to Castle Wolfenstein,"['Single-player', 'Multi-player', 'Steam Cloud']",4.99,False,Gray Matter Studios,very positive,88.0,2001
['Action'],BloodRayne,"['Single-player', 'Steam Trading Cards']",9.99,False,Terminal Reality,mixed,65.0,2003
['Action'],QUAKE,"['Single-player', 'Multi-player', 'Co-op', 'Steam Cloud']",4.99,False,id Software,very positive,94.0,2007
['Strategy'],Genesis Rising,"['Single-player', 'Multi-player']",4.99,False,Metamorf,mixed,57.0,2007
"['Action', 'RPG']",BioShock™,"['Single-player', 'Partial Controller Support']",19.99,False,"2K Boston,2K Australia",very positive,96.0,2007
['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","['Single-player', 'Multi-player', 'Steam Trading Cards', 'Steam Cloud']",12.99,False,Relic Entertainment,positive,86.0,2006
['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade","['Single-player', 'Multi-player', 'Steam Cloud']",12.99,False,Relic Entertainment,very positive,87.0,2006
['Strategy'],Rome: Total War™ - Collection,"['Single-player', 'Multi-player', 'Steam Trading Cards']",9.99,False,The Creative Assembly,very positive,92.0,2004
['Strategy'],Rome: Total War™ - Alexander,"['Single-player', 'Multi-player']",4.99,False,The Creative Assembly,mostly Positive,79.0,2006
['Action'],Manhunt,['Single-player'],9.99,False,Rockstar North,mostly Positive,75.0,2004
['Racing'],Midnight Club 2,"['Single-player', 'Multi-player']",9.99,False,Rockstar San Diego,positive,81.0,2003
['Action'],Max Payne 2: The Fall of Max Payne,['Single-player'],9.99,False,Remedy Entertainment,positive,86.0,2003
"['Action', 'Adventure']",Tomb Raider: Legend,"['Single-player', 'Partial Controller Support']",6.99,False,Crystal Dynamics,positive,82.0,2006
['Action'],Max Payne,['Single-player'],9.99,False,Remedy Entertainment,very positive,89.0,2001
['Strategy'],Command & Conquer: Red Alert 3,['Single-player'],19.99,False,EA Los Angeles,positive,82.0,2008
['Casual'],PuzzleQuest: Challenge of the Warlords,"['Single-player', 'Multi-player', 'Steam Cloud']",9.99,False,Infinite Interactive,positive,84.0,2007
"['RPG', 'Casual', 'Adventure']",Culpa Innata,['Single-player'],9.99,False,Momentum Digital Media Technologies,mixed,66.0,2007
['Action'],Conflict: Denied Ops,['Single-player'],5.99,False,Pivotal Games,mixed,58.0,2008
['Action'],ARMA: Combat Operations,"['Single-player', 'Multi-player', 'Includes level editor']",7.99,False,Bohemia Interactive,mostly Positive,74.0,2007
['Simulation'],Tycoon City: New York,['Single-player'],9.99,False,,mixed,67.0,2006
['Action'],Desperados 2: Cooper's Revenge,['Single-player'],9.99,False,Spellbound,mixed,66.0,2006
"['Action', 'Adventure']",Death to Spies,"['Single-player', 'Steam Cloud']",4.99,False,Haggard Games,mixed,69.0,2007
['Action'],Act of War: High Treason,"['Single-player', 'Multi-player']",2.99,False,Eugen Systems,mostly Positive,74.0,2006
"['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,['Single-player'],19.99,False,"Frontier,Aspyr (Mac)",positive,81.0,2006
['Action'],Act of War: Direct Action,"['Single-player', 'Multi-player']",2.99,False,Eugen Systems,positive,82.0,2005
['Action'],Unreal 2: The Awakening,['Single-player'],14.99,False,"Epic Games, Inc.",mostly Positive,75.0,2003
"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,"['Single-player', 'Multi-player', 'Steam Achievements']",4.99,False,Sanzaru Games,mixed,57.0,2008
['Action'],Tom Clancy's Splinter Cell®,['Single-player'],9.99,False,Ubisoft,very positive,91.0,2003
['Action'],Far Cry®,['Single-player'],9.99,False,Crytek Studios,very positive,89.0,2004
['Action'],Unreal Tournament: Game of the Year Edition,"['Single-player', 'Multi-player']",9.99,False,"Epic Games, Inc.",very positive,92.0,2000
['Action'],Tom Clancy's Rainbow Six® Vegas,"['Single-player', 'Multi-player']",9.99,False,Ubisoft Montreal,positive,85.0,2006
['Simulation'],Silent Hunter® III,"['Single-player', 'Multi-player', 'Co-op']",9.99,False,Ubisoft,very positive,90.0,2005
"['Action', 'Adventure']",Rayman Raving Rabbids™,['Single-player'],9.99,False,"Ubisoft Bulgaria,Ubisoft Montpellier",mixed,58.0,2007
['Simulation'],Silent Hunter®: Wolves of the Pacific,"['Single-player', 'Multi-player']",9.99,False,Ubisoft Romania,mostly Positive,79.0,2007
['Simulation'],IL-2 Sturmovik: 1946,"['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor']",9.99,False,1C: Maddox Games,positive,86.0,2006
['Adventure'],Bone: Out From Boneville,['Single-player'],9.99,False,Telltale Games,mixed,68.0,2005
['Adventure'],Bone: The Great Cow Race,['Single-player'],9.99,False,Telltale Games,mostly Positive,76.0,2006
['Adventure'],Dracula Origin,['Single-player'],9.99,False,Frogwares,mixed,70.0,2008
"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,['Single-player'],9.99,False,Frogwares,mostly Positive,71.0,2008
"['Simulation', 'Strategy']",Pacific Storm Allies,"['Single-player', 'Multi-player', 'Steam Trading Cards']",7.99,False,Lesta Studio,mixed,60.0,2007
['Racing'],FlatOut: Ultimate Carnage,"['Single-player', 'Multi-player']",19.99,False,Bugbear Entertainment,mostly Positive,79.0,2008
['Racing'],GTR Evolution Expansion Pack for RACE 07,"['Single-player', 'Multi-player', 'Downloadable Content']",7.99,False,SimBin,positive,83.0,2008
['Strategy'],X-COM: Enforcer,"['Single-player', 'Multi-player']",4.99,False,"MicroProse Software, Inc",mixed,65.0,2001
"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,"['Single-player', 'Multi-player']",9.99,False,GSC Game World,mostly Positive,75.0,2008
['Action'],Crysis Warhead®,['Single-player'],19.99,False,Crytek,positive,84.0,2008
['Action'],Crysis,['Single-player'],19.99,False,Crytek,very positive,91.0,2007
"['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,"['Single-player', 'Steam Cloud']",9.99,False,CD PROJEKT RED,positive,86.0,2008
['Indie'],Multiwinia,"['Single-player', 'Multi-player', 'Steam Achievements']",9.99,False,Introversion Software,mostly Positive,76.0,2008
['Strategy'],Sid Meier's Civilization IV: Colonization,"['Single-player', 'Multi-player']",19.99,False,Firaxis Games,positive,83.0,2008
['Action'],Tom Clancy's Rainbow Six® 3 Gold,['Single-player'],9.99,False,"Red Storm Entertainment,Ubisoft Montreal",positive,85.0,2003
"['Action', 'Adventure']",LEGO Batman,"['Single-player', 'Shared/Split Screen', 'Full controller support']",19.99,False,Traveller's Tales,mostly Positive,80.0,2008
"['RPG', 'Strategy']",Hinterland,"['Single-player', 'Steam Achievements']",9.99,False,"Tilted Mill Entertainment, Inc.",mixed,65.0,2008
['Action'],Brothers in Arms: Hell's Highway™,['Single-player'],9.99,False,Gearbox Software,mostly Positive,79.0,2008
['Strategy'],Heroes of Might & Magic V: Hammers of Fate,['Single-player'],9.99,False,Nival,mixed,66.0,2006
['Action'],Brothers in Arms: Earned in Blood™,['Single-player'],9.99,False,Gearbox Software,positive,84.0,2005
['Strategy'],Heroes of Might & Magic V: Tribes of the East,['Single-player'],9.99,False,Nival,mixed,70.0,2007
['Strategy'],The Settlers®: Rise Of An Empire Gold Edition,['Single-player'],19.99,False,Blue Byte,mixed,66.0,2008
['Action'],The Sum of All Fears,"['Single-player', 'Multi-player']",9.99,False,Red Storm Entertainment,mostly Positive,72.0,2002
['Casual'],Peggle™ Nights,['Single-player'],4.99,False,"PopCap Games, Inc.",mostly Positive,76.0,2008
['Indie'],World of Goo,"['Single-player', 'Steam Achievements']",9.99,False,2D BOY,very positive,90.0,2008
"['Action', 'Simulation', 'Strategy']",X3: Terran Conflict,"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud']",15.99,False,Egosoft,mostly Positive,73.0,2008
"['Action', 'Adventure']",Bully: Scholarship Edition,"['Single-player', 'Partial Controller Support']",14.99,False,Rockstar New England,mostly Positive,72.0,2008
['Action'],Far Cry® 2: Fortune's Edition,"['Single-player', 'Multi-player']",9.99,False,Ubisoft Montreal,positive,85.0,2008
['Action'],Saints Row 2,"['Single-player', 'Steam Cloud']",9.99,False,Volition,mostly Positive,72.0,2009
['Action'],Dead Space,"['Single-player', 'Full controller support']",19.99,False,EA Redwood Shores,positive,86.0,2008
['RPG'],Rise of the Argonauts,"['Single-player', 'Full controller support']",9.99,False,Liquid Entertainment,mixed,59.0,2008
"['Action', 'Adventure']",Mirror's Edge™,"['Single-player', 'Full controller support', 'Partial Controller Support']",19.99,False,DICE,positive,81.0,2009
"['Indie', 'Strategy']",Defense Grid: The Awakening,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",9.99,False,Hidden Path Entertainment,positive,81.0,2008
['Action'],F.E.A.R. 2: Project Origin,"['Single-player', 'Multi-player']",14.99,False,Monolith,mostly Positive,79.0,2009
"['Action', 'Indie']",Larva Mortus,"['Single-player', 'Steam Achievements']",4.99,False,Meridian4,mixed,64.0,2009
['Strategy'],Knights of Honor,"['Single-player', 'Multi-player']",9.99,False,Black Sea Studios Ltd,mostly Positive,77.0,2005
"['Action', 'Adventure', 'Strategy']",Ceville,['Single-player'],5.99,False,Realmforge Studios,mostly Positive,73.0,2009
['Action'],Watchmen: The End is Nigh,"['Single-player', 'Multi-player', 'Shared/Split Screen']",4.99,False,Deadline Games,mixed,61.0,2009
"['Action', 'Adventure', 'Indie']",Penumbra Overture,"['Single-player', 'Captions available']",9.99,False,Frictional Games,mostly Positive,73.0,2007
['Action'],Unreal Tournament 3 Black,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements']",19.99,False,"Epic Games, Inc.",positive,83.0,2007
['RPG'],Drakensang,['Single-player'],9.99,False,Radon Labs,mostly Positive,75.0,2009
['Racing'],Burnout Paradise: The Ultimate Box,"['Single-player', 'Multi-player']",19.99,False,Criterion Games,very positive,87.0,2009
"['Action', 'Indie']",The Maw,"['Single-player', 'Steam Achievements']",9.99,False,Twisted Pixel Games,mostly Positive,75.0,2009
"['RPG', 'Massively Multiplayer']",Guild Wars Nightfall,"['Multi-player', 'MMO']",19.99,False,ArenaNet®,positive,84.0,2006
"['RPG', 'Massively Multiplayer']",Guild Wars,"['Multi-player', 'MMO']",19.99,False,ArenaNet®,very positive,89.0,2005
"['RPG', 'Massively Multiplayer']",Guild Wars Factions,"['Multi-player', 'MMO']",19.99,False,ArenaNet®,positive,84.0,2006
['RPG'],Two Worlds Epic Edition,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Partial Controller Support']",9.99,False,Reality Pump Studios,mixed,65.0,2009
['Strategy'],Helldorado,['Single-player'],9.99,False,Spellbound,mixed,65.0,2009
"['Action', 'Adventure', 'RPG']",X-Blades,"['Single-player', 'Steam Trading Cards', 'Partial Controller Support']",9.99,False,Gaijin Entertainment,mixed,54.0,2009
"['Action', 'Indie']",Zeno Clash,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,ACE Team,mostly Positive,77.0,2009
"['RPG', 'Strategy']",King's Bounty: The Legend,"['Single-player', 'Steam Cloud']",6.99,False,1C Company,mostly Positive,79.0,2008
['Racing'],Death Track®: Resurrection,"['Single-player', 'Steam Cloud']",2.99,False,Sky Fallen,mixed,53.0,2009
"['RPG', 'Strategy']",Freedom Force,"['Single-player', 'Multi-player']",4.99,False,Irrational Games,very positive,90.0,2002
"['Indie', 'Simulation', 'Strategy']",Light of Altair,"['Single-player', 'Steam Achievements']",14.99,False,SaintXi,mixed,66.0,2009
"['Action', 'Adventure']",Prototype™,['Single-player'],19.99,False,Radical Entertainment,mostly Positive,79.0,2009
"['Adventure', 'Indie']",Blueberry Garden,['Single-player'],4.99,False,Erik Svedäng,mixed,68.0,2009
['Strategy'],Port Royale 2,['Single-player'],4.99,False,Ascaron Entertainment ltd.,mostly Positive,75.0,2004
nan,Call of Cthulhu®: Dark Corners of the Earth,['Single-player'],4.99,False,Headfirst Productions,mostly Positive,76.0,2006
['RPG'],The Elder Scrolls IV: Oblivion® Game of the Year Edition,"['Single-player', 'Steam Cloud']",14.99,False,Bethesda Game Studios,very positive,94.0,2007
['RPG'],The Elder Scrolls III: Morrowind® Game of the Year Edition,"['Single-player', 'Steam Cloud']",14.99,False,Bethesda Game Studios,very positive,89.0,2002
nan,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,"['Single-player', 'Steam Cloud']",19.99,False,Bethesda Game Studios®,very positive,94.0,2009
['Action'],Call of Juarez®: Bound in Blood,['Single-player'],9.99,False,Techland,mostly Positive,78.0,2009
['Adventure'],Nancy Drew®: Legend of the Crystal Skull,['Single-player'],6.99,False,HeR Interactive,mostly Positive,79.0,2007
['Adventure'],Nancy Drew®: The Creature of Kapu Cave,['Single-player'],6.99,False,HeR Interactive,mixed,68.0,2006
['Adventure'],Nancy Drew®: The Phantom of Venice,['Single-player'],6.99,False,HeR Interactive,mixed,69.0,2008
['Adventure'],Nancy Drew®: The White Wolf of Icicle Creek,['Single-player'],6.99,False,HeR Interactive,mostly Positive,73.0,2007
['Adventure'],Tales of Monkey Island Complete Pack,['Single-player'],19.99,False,Telltale Games,mostly Positive,79.0,2009
['Action'],Street Fighter® IV,"['Single-player', 'Multi-player', 'Partial Controller Support']",19.99,False,Capcom,very positive,91.0,2009
"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",Thrillville®: Off the Rails™,"['Single-player', 'Local Multi-Player', 'Co-op', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Steam Cloud']",9.99,False,Frontier,mixed,70.0,2007
