publisher,genres,app_name,specs,price,early_access,developer,sentiment,metascore,release_year,Indie
Valve,['Action'],Half-Life,"['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']",9.99,False,Valve,very positive,96.0,1998,0
Strategy First,['Strategy'],Disciples II: Gallean's Return,"['Single-player', 'Multi-player', 'Co-op']",6.99,False,Strategy First,positive,84.0,2006,0
Strategy First,['Strategy'],Disciples II: Rise of the Elves,"['Single-player', 'Multi-player', 'Co-op']",6.99,False,Strategy First,mostly Positive,80.0,2006,0
Blazing Griffin Ltd.,"['Action', 'Indie', 'RPG']",The Ship: Murder Party,"['Single-player', 'Multi-player', 'Steam Trading Cards', 'Valve Anti-Cheat enabled']",9.99,False,Outerlight Ltd.,mostly Positive,76.0,2006,1
Majesco,['Action'],Advent Rising,"['Single-player', 'Steam Trading Cards']",9.99,False,GlyphX Games,mixed,70.0,2005,0
Introversion Software,"['Indie', 'Strategy']",DEFCON,"['Single-player', 'Multi-player']",9.99,False,Introversion Software,positive,84.0,2006,1
"CINEMAX, s.r.o.","['Casual', 'Indie']",Gumboy - Crazy Adventures™,['Single-player'],4.99,False,"CINEMAX, s.r.o.",mixed,69.0,2006,1
Strategy First,['Strategy'],Ghost Master®,['Single-player'],4.99,False,Sick Puppies,positive,81.0,2003,0
Funcom,"['Adventure', 'RPG']",Dreamfall: The Longest Journey,['Single-player'],19.99,False,Funcom,mostly Positive,75.0,2006,0
Strategy First,['Racing'],FlatOut 2™,['Single-player'],9.99,False,Bugbear Entertainment,mostly Positive,76.0,2006,0
Strategy First,['Racing'],FlatOut,"['Single-player', 'Multi-player']",7.49,False,Bugbear Entertainment,mostly Positive,72.0,2005,0
Capcom,"['Action', 'Adventure']",Lost Pl™: Extreme Condition,"['Single-player', 'Multi-player', 'Partial Controller Support', 'Valve Anti-Cheat enabled']",14.99,False,"CAPCOM Co., Ltd.",mixed,66.0,2007,0
2K Games,['Strategy'],CivCity: Rome,['Single-player'],9.99,False,"FireFly Studios,Firaxis Games",mixed,67.0,2006,0
Arkane Studios,['RPG'],Arx Fatalis,['Single-player'],4.99,False,Arkane Studios,mostly Positive,77.0,2002,0
Funcom,"['Action', 'Adventure', 'RPG']",The Longest Journey,['Single-player'],9.99,False,Funcom,very positive,91.0,2000,0
2K Games,['Strategy'],Civilization IV®: Warlords,['Single-player'],4.99,False,Firaxis Games,positive,84.0,2006,0
2K Games,['Strategy'],Railroad Tycoon 3,"['Single-player', 'Multi-player']",9.99,False,PopTop,mostly Positive,80.0,2003,0
"2K Games, Feral Interactive (Mac)",['Strategy'],Sid Meier's Railroads!,"['Single-player', 'Multi-player']",9.99,False,"Firaxis Games,Feral Interactive (Mac)",mostly Positive,77.0,2006,0
2K Games,['Strategy'],Railroad Tycoon II Platinum,['Single-player'],4.99,False,PopTop,very positive,89.0,1998,0
"Square Enix, Feral Interactive (Mac)","['Action', 'Adventure']",Tomb Raider: Anniversary,"['Single-player', 'Partial Controller Support']",8.99,False,"Crystal Dynamics,Feral Interactive (Mac)",positive,83.0,2007,0
Capcom,['Action'],Devil May Cry® 3 Special Edition,"['Single-player', 'Partial Controller Support']",19.99,False,"CAPCOM Co., Ltd.",mixed,66.0,2006,0
,"['Indie', 'RPG']",Vigil: Blood Bitterness™,['Single-player'],,False,Freegamer,mixed,61.0,2007,1
id Software,['Action'],DOOM II,"['Single-player', 'Multi-player', 'Steam Cloud']",4.99,False,id Software,positive,83.0,1994,0
id Software,['Action'],Return to Castle Wolfenstein,"['Single-player', 'Multi-player', 'Steam Cloud']",4.99,False,Gray Matter Studios,very positive,88.0,2001,0
Majesco,['Action'],BloodRayne,"['Single-player', 'Steam Trading Cards']",9.99,False,Terminal Reality,mixed,65.0,2003,0
id Software,['Action'],QUAKE,"['Single-player', 'Multi-player', 'Co-op', 'Steam Cloud']",4.99,False,id Software,very positive,94.0,2007,0
THQ Nordic,['Strategy'],Genesis Rising,"['Single-player', 'Multi-player']",4.99,False,Metamorf,mixed,57.0,2007,0
